Name,Symbol,Side,Status,Filled,Total Qty,Price,Avg Price,Time-in-Force,Placed Time,Filled Time
CMG250912C00044000,CMG250912C00044000,Buy,Filled,1,1,@1.01,1.01,GTC,08/12/2025 15:18:02 EDT,08/12/2025 15:18:29 EDT
SBUX250912C00102000,SBUX250912C00102000,Sell,Filled,1,1,0.430,0.430,DAY,08/12/2025 15:07:40 EDT,08/12/2025 15:07:40 EDT
SBUX250912C00102000,SBUX250912C00102000,Sell,Cancelled,0,1,@1.00,,GTC,08/12/2025 14:38:45 EDT,
SBUX250912C00102000,SBUX250912C00102000,Sell,Cancelled,0,1,0.250,,GTC,08/12/2025 14:38:45 EDT,
SBUX250912C00102000,SBUX250912C00102000,Buy,Filled,1,1,@0.500,0.500,GTC,08/12/2025 14:36:02 EDT,08/12/2025 14:36:28 EDT
C250912P00084000,C250912P00084000,Sell,Filled,1,1,@0.370,0.370,DAY,08/12/2025 10:29:12 EDT,08/12/2025 10:29:40 EDT
SBUX250912C00098000,SBUX250912C00098000,Sell,Cancelled,0,1,@6.50,,GTC,08/12/2025 09:34:57 EDT,
SBUX250912C00098000,SBUX250912C00098000,Sell,Filled,1,1,@1.03,1.03,GTC,08/12/2025 09:34:57 EDT,08/12/2025 10:32:38 EDT
SBUX250912C00098000,SBUX250912C00098000,Buy,Filled,1,1,@0.860,0.860,GTC,08/11/2025 15:13:09 EDT,08/11/2025 15:13:54 EDT
C250912P00084000,C250912P00084000,Sell,Cancelled,0,1,@2.00,,DAY,08/11/2025 09:52:51 EDT,
C250912P00084000,C250912P00084000,Sell,Cancelled,0,1,0.350,,DAY,08/11/2025 09:52:51 EDT,
C250912P00084000,C250912P00084000,Buy,Filled,1,1,@0.580,0.580,DAY,08/11/2025 09:52:09 EDT,08/11/2025 09:52:29 EDT
INTC250912P00017500,INTC250912P00017500,Sell,Filled,3,3,@0.120,0.120,DAY,08/11/2025 09:32:59 EDT,08/11/2025 09:34:32 EDT
INTC250912P00017500,INTC250912P00017500,Buy,Filled,3,3,@0.230,0.230,DAY,08/08/2025 13:57:59 EDT,08/08/2025 13:57:59 EDT
MARA250905C00018000,MARA250905C00018000,Sell,Filled,1,1,@0.440,0.440,DAY,08/08/2025 09:35:19 EDT,08/08/2025 09:35:42 EDT
MARA250905C00018000,MARA250905C00018000,Buy,Filled,1,1,@0.540,0.540,DAY,08/07/2025 10:24:47 EDT,08/07/2025 10:25:39 EDT
MARA250905C00018000,MARA250905C00018000,Sell,Filled,2,2,@0.580,0.580,DAY,08/07/2025 09:33:25 EDT,08/07/2025 09:59:42 EDT
MARA250905C00018000,MARA250905C00018000,Sell,Cancelled,0,2,@1.20,,DAY,08/07/2025 09:33:25 EDT,
MARA250905C00018000,MARA250905C00018000,Buy,Filled,2,2,@0.570,0.570,GTC,08/06/2025 14:31:17 EDT,08/06/2025 14:32:22 EDT
CMG250905C00045000,CMG250905C00045000,Buy,Cancelled,0,1,@0.580,,DAY,08/06/2025 14:26:18 EDT,
INTC250905C00020500,INTC250905C00020500,Sell,Cancelled,0,1,@2.50,,GTC,08/05/2025 12:06:42 EDT,
INTC250905C00020500,INTC250905C00020500,Sell,Filled,1,1,@0.790,0.790,GTC,08/05/2025 12:06:42 EDT,08/06/2025 09:32:12 EDT
INTC250905C00020500,INTC250905C00020500,Sell,Filled,1,1,@0.880,0.880,DAY,08/05/2025 09:43:22 EDT,08/05/2025 09:43:39 EDT
INTC250905C00020500,INTC250905C00020500,Buy,Filled,2,2,@0.520,0.520,DAY,08/04/2025 13:46:40 EDT,08/04/2025 13:46:40 EDT
MARA250905P00014500,MARA250905P00014500,Sell,Filled,1,1,@0.590,0.590,DAY,08/04/2025 12:12:28 EDT,08/04/2025 12:13:56 EDT
MARA250829P00014000,MARA250829P00014000,Sell,Filled,1,1,@0.390,0.390,DAY,08/04/2025 12:12:14 EDT,08/04/2025 12:13:58 EDT
MARA250905P00014500,MARA250905P00014500,Buy,Filled,1,1,@0.810,0.810,GTC,08/01/2025 15:12:29 EDT,08/01/2025 15:12:54 EDT
SPXW250806C06450000,SPXW250806C06450000,Sell,Filled,1,1,@1.05,1.05,DAY,08/01/2025 10:18:31 EDT,08/01/2025 10:18:32 EDT
MARA250829P00014000,MARA250829P00014000,Buy,Filled,1,1,@0.650,0.650,GTC,08/01/2025 10:04:05 EDT,08/01/2025 10:04:45 EDT
SPXW250806C06450000,SPXW250806C06450000,Buy,Filled,1,1,@1.30,1.30,GTC,08/01/2025 09:59:42 EDT,08/01/2025 10:00:00 EDT
SPXW250805P05900000,SPXW250805P05900000,Sell,Filled,1,1,1.85,1.85,DAY,08/01/2025 09:47:27 EDT,08/01/2025 09:47:28 EDT
SPXW250805P05900000,SPXW250805P05900000,Buy,Filled,1,1,@2.15,2.15,GTC,08/01/2025 09:46:11 EDT,08/01/2025 09:46:22 EDT
SPXW250805P06145000,SPXW250805P06145000,Sell,Filled,1,1,@1.90,1.90,DAY,07/31/2025 11:00:45 EDT,07/31/2025 11:01:02 EDT
SPXW250805P06145000,SPXW250805P06145000,Buy,Filled,1,1,@1.40,1.40,GTC,07/31/2025 10:05:02 EDT,07/31/2025 10:05:02 EDT
MSFT250905P00420000,MSFT250905P00420000,Sell,Filled,1,1,@0.060,0.060,DAY,07/31/2025 09:31:33 EDT,07/31/2025 10:01:31 EDT
MSFT250905P00435000,MSFT250905P00435000,Sell,Filled,1,1,@0.120,0.120,DAY,07/31/2025 09:31:18 EDT,07/31/2025 09:46:21 EDT
MSFT250905P00420000,MSFT250905P00420000,Buy,Filled,1,1,@0.420,0.420,GTC,07/30/2025 15:59:59 EDT,07/30/2025 15:59:59 EDT
MSFT250905P00435000,MSFT250905P00435000,Buy,Filled,1,1,@0.720,0.720,GTC,07/30/2025 15:01:04 EDT,07/30/2025 15:01:05 EDT
MARA250829C00020000,MARA250829C00020000,Sell,Filled,2,2,@0.640,0.640,DAY,07/29/2025 10:09:04 EDT,07/29/2025 10:09:25 EDT
MARA250829C00020000,MARA250829C00020000,Buy,Filled,2,2,@0.720,0.720,GTC,07/28/2025 15:17:20 EDT,07/28/2025 15:58:27 EDT
SPY250731P00619000,SPY250731P00619000,Sell,Filled,1,1,@0.420,0.420,DAY,07/25/2025 13:07:34 EDT,07/25/2025 13:20:26 EDT
INTC250815P00021000,INTC250815P00021000,Sell,Filled,2,2,@1.00,1.00,DAY,07/25/2025 09:34:38 EDT,07/25/2025 09:34:47 EDT
SPY250731P00619000,SPY250731P00619000,Buy,Filled,1,1,@0.740,0.740,DAY,07/24/2025 15:59:17 EDT,07/24/2025 15:59:17 EDT
MARA250815P00018000,MARA250815P00018000,Sell,Filled,1,1,@1.63,1.63,DAY,07/23/2025 09:37:32 EDT,07/23/2025 09:37:40 EDT
INTC250815P00021000,INTC250815P00021000,Buy,Filled,2,2,@0.410,0.410,GTC,07/22/2025 15:58:59 EDT,07/22/2025 15:59:20 EDT
MARA Vertical,,Buy,Filled,1,1,@0.420,0.420,DAY,07/18/2025 10:31:17 EDT,07/18/2025 10:31:29 EDT
,MARA250815P00018000,Buy,Filled,1,1,@0.680,0.680,DAY,07/18/2025 10:31:17 EDT,07/18/2025 10:31:29 EDT
,MARA250815P00016000,Sell,Filled,1,1,@0.260,0.260,DAY,07/18/2025 10:31:17 EDT,07/18/2025 10:31:29 EDT
MARA250815P00016000,MARA250815P00016000,Buy,Filled,1,1,@0.510,0.510,DAY,07/15/2025 15:44:28 EDT,07/15/2025 15:44:28 EDT
MARA250815C00023000,MARA250815C00023000,Sell,Filled,1,1,@0.760,0.760,DAY,07/15/2025 10:27:27 EDT,07/15/2025 10:30:44 EDT
MARA250815C00023000,MARA250815C00023000,Buy,Filled,1,1,@0.840,0.840,DAY,07/14/2025 15:55:04 EDT,07/14/2025 15:55:04 EDT
MARA250808C00022000,MARA250808C00022000,Sell,Filled,1,1,@1.00,1.00,DAY,07/14/2025 09:30:23 EDT,07/14/2025 09:31:12 EDT
MARA250808C00022000,MARA250808C00022000,Buy,Filled,1,1,@0.830,0.830,DAY,07/11/2025 15:26:59 EDT,07/11/2025 15:26:59 EDT
MARA250808C00021000,MARA250808C00021000,Buy,Cancelled,0,1,@1.04,,DAY,07/11/2025 15:26:06 EDT,
NVDA250725P00140000,NVDA250725P00140000,Sell,Filled,1,1,@0.240,0.240,DAY,07/11/2025 15:25:13 EDT,07/11/2025 15:25:26 EDT
NVDA Calendar,,Buy,Filled,1,1,@0.190,0.190,DAY,07/03/2025 09:56:50 EDT,07/03/2025 10:01:53 EDT
,NVDA250725P00140000,Buy,Filled,1,1,@0.800,0.800,DAY,07/03/2025 09:56:50 EDT,07/03/2025 10:01:53 EDT
,NVDA250718P00143000,Sell,Filled,1,1,@0.610,0.610,DAY,07/03/2025 09:56:50 EDT,07/03/2025 10:01:53 EDT
NVDA250718P00143000,NVDA250718P00143000,Sell,Cancelled,0,1,@5.00,,DAY,06/27/2025 14:32:25 EDT,
NVDA250718P00143000,NVDA250718P00143000,Sell,Cancelled,0,1,0.960,,DAY,06/27/2025 14:32:25 EDT,
NVDA Calendar,,Buy,Filled,1,1,@0.520,0.520,DAY,06/26/2025 10:37:29 EDT,06/26/2025 10:37:57 EDT
,NVDA250718P00143000,Buy,Filled,1,1,@1.22,1.22,DAY,06/26/2025 10:37:29 EDT,06/26/2025 10:37:57 EDT
,NVDA250711P00143000,Sell,Filled,1,1,@0.700,0.700,DAY,06/26/2025 10:37:29 EDT,06/26/2025 10:37:57 EDT
MARA250725C00016000,MARA250725C00016000,Sell,Filled,1,1,@0.630,0.630,DAY,06/26/2025 10:16:20 EDT,06/26/2025 10:18:56 EDT
NVDA Calendar,,Sell,Filled,1,1,@0.000,0.000,DAY,06/25/2025 15:52:12 EDT,06/25/2025 15:52:59 EDT
,NVDA250718P00139000,Sell,Filled,1,1,@1.01,1.01,DAY,06/25/2025 15:52:12 EDT,06/25/2025 15:52:59 EDT
,NVDA250711P00143000,Buy,Filled,1,1,@1.01,1.01,DAY,06/25/2025 15:52:12 EDT,06/25/2025 15:52:59 EDT
MARA250725C00016000,MARA250725C00016000,Buy,Filled,1,1,@0.700,0.700,DAY,06/25/2025 14:57:22 EDT,06/25/2025 14:57:22 EDT
NVDA Vertical,,Sell,Filled,1,1,@0.620,0.620,DAY,06/25/2025 10:52:45 EDT,06/25/2025 10:53:11 EDT
,NVDA250718P00143000,Sell,Filled,1,1,@1.67,1.67,DAY,06/25/2025 10:52:45 EDT,06/25/2025 10:53:11 EDT
,NVDA250718P00139000,Buy,Filled,1,1,@1.05,1.05,DAY,06/25/2025 10:52:45 EDT,06/25/2025 10:53:11 EDT
NVDA250718P00143000,NVDA250718P00143000,Buy,Filled,1,1,@2.81,2.81,DAY,06/24/2025 15:37:58 EDT,06/24/2025 15:38:26 EDT
SBUX250718P00085000,SBUX250718P00085000,Sell,Filled,2,2,@0.870,0.870,DAY,06/17/2025 15:59:47 EDT,06/17/2025 15:59:57 EDT
SBUX250718P00085000,SBUX250718P00085000,Sell,Failed,0,2,@100.00,,DAY,06/17/2025 09:34:59 EDT,
SBUX250718P00085000,SBUX250718P00085000,Sell,Cancelled,0,2,0.400,,DAY,06/17/2025 09:34:59 EDT,
SBUX250718P00085000,SBUX250718P00085000,Sell,Cancelled,0,1,@0.660,,DAY,06/17/2025 09:33:34 EDT,
SBUX250718P00085000,SBUX250718P00085000,Buy,Filled,2,2,@0.600,0.600,DAY,06/16/2025 15:53:30 EDT,06/16/2025 15:53:49 EDT
SBUX250718P00090000,SBUX250718P00090000,Sell,Cancelled,0,1,@3.00,,DAY,06/16/2025 09:32:26 EDT,
SBUX250718P00090000,SBUX250718P00090000,Sell,Filled,1,1,@1.34,1.34,DAY,06/16/2025 09:32:26 EDT,06/16/2025 10:47:48 EDT
SBUX250718P00090000,SBUX250718P00090000,Sell,Cancelled,0,1,@1.87,,DAY,06/16/2025 09:21:03 EDT,
SBUX250718P00090000,SBUX250718P00090000,Sell,Cancelled,0,1,1.25,,DAY,06/13/2025 11:09:30 EDT,
SBUX250718P00090000,SBUX250718P00090000,Sell,Cancelled,0,1,@2.07,,DAY,06/13/2025 11:09:30 EDT,
SBUX250718P00090000,SBUX250718P00090000,Buy,Filled,1,1,@1.62,1.62,DAY,06/13/2025 11:08:53 EDT,06/13/2025 11:09:07 EDT
SBUX250718C00100000,SBUX250718C00100000,Sell,Filled,1,1,@1.08,1.08,DAY,06/13/2025 10:28:21 EDT,06/13/2025 10:28:34 EDT
SBUX250718C00100000,SBUX250718C00100000,Buy,Filled,1,1,@1.36,1.36,GTC,06/12/2025 12:45:57 EDT,06/12/2025 12:46:28 EDT
MNST250711P00063000,MNST250711P00063000,Sell,Filled,1,1,@1.15,1.15,DAY,06/12/2025 10:00:38 EDT,06/12/2025 10:01:00 EDT
INTC250711C00022500,INTC250711C00022500,Sell,Filled,1,1,0.540,0.540,DAY,06/11/2025 11:56:12 EDT,06/11/2025 11:56:12 EDT
INTC250711C00022500,INTC250711C00022500,Buy,Filled,1,1,@1.09,1.09,DAY,06/10/2025 15:56:21 EDT,06/10/2025 15:57:18 EDT
SBUX250703C00090000,SBUX250703C00090000,Sell,Filled,1,1,@2.15,2.15,DAY,06/06/2025 10:15:42 EDT,06/06/2025 10:16:04 EDT
MNST250711P00063000,MNST250711P00063000,Sell,Cancelled,0,1,@1.70,,DAY,06/06/2025 09:34:38 EDT,
MNST250711P00063000,MNST250711P00063000,Buy,Filled,1,1,@1.45,1.45,GTC,06/05/2025 15:42:36 EDT,06/05/2025 15:42:45 EDT
SBUX250703C00090000,SBUX250703C00090000,Buy,Filled,1,1,@1.95,1.95,GTC,06/05/2025 15:39:45 EDT,06/05/2025 15:39:54 EDT
SBUX250703C00090000,SBUX250703C00090000,Sell,Filled,1,1,@1.95,1.95,DAY,06/05/2025 12:53:25 EDT,06/05/2025 12:54:14 EDT
SBUX250703C00090000,SBUX250703C00090000,Buy,Filled,1,1,@1.86,1.86,DAY,06/04/2025 12:24:11 EDT,06/04/2025 12:24:11 EDT
INTC250703C00020000,INTC250703C00020000,Sell,Filled,1,1,@1.03,1.03,DAY,06/04/2025 10:06:15 EDT,06/04/2025 10:07:10 EDT
INTC250703C00020000,INTC250703C00020000,Buy,Filled,1,1,@0.960,0.960,GTC,06/03/2025 10:25:38 EDT,06/03/2025 10:26:40 EDT
MARA250703P00014000,MARA250703P00014000,Sell,Filled,1,1,@0.740,0.740,DAY,06/03/2025 10:03:40 EDT,06/03/2025 10:03:59 EDT
MARA250703P00014000,MARA250703P00014000,Buy,Filled,1,1,@1.05,1.05,GTC,06/02/2025 14:05:43 EDT,06/02/2025 14:05:44 EDT
MARA250703P00013500,MARA250703P00013500,Sell,Filled,1,1,@0.760,0.760,DAY,06/02/2025 12:37:53 EDT,06/02/2025 12:38:15 EDT
MARA250703P00013500,MARA250703P00013500,Buy,Filled,1,1,@0.930,0.930,DAY,06/02/2025 11:56:30 EDT,06/02/2025 11:56:55 EDT
MARA250703P00014000,MARA250703P00014000,Sell,Filled,1,1,@1.08,1.08,DAY,06/02/2025 11:44:05 EDT,06/02/2025 11:44:29 EDT
MARA250703P00014000,MARA250703P00014000,Buy,Filled,1,1,@1.08,1.08,DAY,05/30/2025 12:14:21 EDT,05/30/2025 12:14:21 EDT
MARA250627P00014500,MARA250627P00014500,Sell,Filled,1,1,@1.13,1.13,DAY,05/30/2025 11:38:50 EDT,05/30/2025 11:39:20 EDT
MARA250627P00014500,MARA250627P00014500,Buy,Filled,1,1,@1.06,1.06,DAY,05/28/2025 11:11:04 EDT,05/28/2025 11:11:17 EDT
MARA250620P00013500,MARA250620P00013500,Sell,Filled,1,1,@0.390,0.390,DAY,05/27/2025 10:00:41 EDT,05/27/2025 10:00:55 EDT
MARA250620P00013500,MARA250620P00013500,Buy,Filled,1,1,@0.650,0.650,DAY,05/23/2025 15:30:36 EDT,05/23/2025 15:30:50 EDT
MARA250620P00014000,MARA250620P00014000,Sell,Filled,1,1,@0.830,0.830,DAY,05/23/2025 13:08:21 EDT,05/23/2025 13:08:47 EDT
MARA250613C00016000,MARA250613C00016000,Sell,Filled,1,1,@1.75,1.75,DAY,05/22/2025 09:35:15 EDT,05/22/2025 09:35:35 EDT
MARA250620P00014000,MARA250620P00014000,Buy,Filled,1,1,@0.610,0.610,DAY,05/21/2025 15:14:55 EDT,05/21/2025 15:15:07 EDT
MARA250613C00016000,MARA250613C00016000,Buy,Filled,1,1,@1.31,1.31,DAY,05/21/2025 13:55:16 EDT,05/21/2025 13:55:16 EDT
SPY250530C00600000,SPY250530C00600000,Sell,Filled,1,1,@1.40,1.40,DAY,05/21/2025 13:26:00 EDT,05/21/2025 13:26:31 EDT
SPY250530C00600000,SPY250530C00600000,Buy,Filled,1,1,@2.78,2.78,DAY,05/20/2025 15:34:37 EDT,05/20/2025 15:34:47 EDT
PRPH251017C00000500,PRPH251017C00000500,Sell,Filled,1,1,@0.100,0.100,DAY,05/20/2025 09:58:30 EDT,05/20/2025 09:59:09 EDT
PROP251219C00005000,PROP251219C00005000,Sell,Filled,1,1,@0.400,0.400,DAY,05/20/2025 09:49:27 EDT,05/20/2025 09:49:42 EDT
SPY250602C00605000,SPY250602C00605000,Sell,Filled,1,1,@1.95,1.95,DAY,05/20/2025 09:49:02 EDT,05/20/2025 09:49:08 EDT
SPY Calendar,,Buy,Filled,1,1,0.220,0.220,DAY,05/19/2025 14:06:12 EDT,05/19/2025 14:06:12 EDT
,SPY250602C00605000,Buy,Filled,1,1,@2.62,2.62,DAY,05/19/2025 14:06:12 EDT,05/19/2025 14:06:12 EDT
,SPY250527C00600000,Sell,Filled,1,1,@2.40,2.40,DAY,05/19/2025 14:06:12 EDT,05/19/2025 14:06:12 EDT
PRPH251017C00000500,PRPH251017C00000500,Sell,Cancelled,0,1,@0.250,,DAY,05/19/2025 14:04:41 EDT,
PRPH251017C00000500,PRPH251017C00000500,Sell,Cancelled,0,1,@0.100,,DAY,05/19/2025 14:03:37 EDT,
SPY250527C00600000,SPY250527C00600000,Sell,Cancelled,0,1,2.10,,GTC,05/19/2025 13:43:01 EDT,
SPY250527C00600000,SPY250527C00600000,Sell,Cancelled,0,1,@3.17,,GTC,05/19/2025 13:43:01 EDT,
SPY250527C00600000,SPY250527C00600000,Buy,Filled,1,1,@2.66,2.66,GTC,05/19/2025 13:42:12 EDT,05/19/2025 13:42:33 EDT
SPY250527P00593000,SPY250527P00593000,Sell,Cancelled,0,1,@5.28,,GTC,05/19/2025 12:39:23 EDT,
SPY250527P00593000,SPY250527P00593000,Sell,Filled,1,1,@3.95,3.95,GTC,05/19/2025 12:39:23 EDT,05/19/2025 13:02:05 EDT
SPY250527P00593000,SPY250527P00593000,Buy,Filled,1,1,@4.43,4.43,GTC,05/19/2025 12:38:11 EDT,05/19/2025 12:38:11 EDT
SPY250527P00593000,SPY250527P00593000,Buy,Cancelled,0,1,@4.45,,GTC,05/19/2025 12:36:33 EDT,
NVDA250620P00135000,NVDA250620P00135000,Buy,Cancelled,0,1,@7.65,,GTC,05/19/2025 12:35:26 EDT,
MARA250613C00016500,MARA250613C00016500,Sell,Filled,1,1,@0.890,0.890,DAY,05/15/2025 10:36:29 EDT,05/15/2025 10:36:29 EDT
HOOD250530C00070000,HOOD250530C00070000,Sell,Filled,1,1,@1.08,1.08,DAY,05/14/2025 12:30:05 EDT,05/14/2025 12:30:20 EDT
PROP251219C00005000,PROP251219C00005000,Buy,Filled,1,1,@0.690,0.690,DAY,05/14/2025 12:28:53 EDT,05/14/2025 12:29:24 EDT
PRPH251017C00000500,PRPH251017C00000500,Buy,Filled,1,1,@0.100,0.100,DAY,05/14/2025 12:22:05 EDT,05/14/2025 12:22:05 EDT
HOOD250530C00070000,HOOD250530C00070000,Buy,Filled,1,1,@1.26,1.26,DAY,05/13/2025 13:16:23 EDT,05/13/2025 13:18:30 EDT
MARA250613C00016500,MARA250613C00016500,Buy,Filled,1,1,@1.28,1.28,DAY,05/12/2025 11:50:59 EDT,05/12/2025 11:51:03 EDT
BBY250530C00075000,BBY250530C00075000,Sell,Filled,1,1,@4.08,4.08,DAY,05/12/2025 09:44:41 EDT,05/12/2025 09:44:54 EDT
BBY250530C00075000,BBY250530C00075000,Buy,Filled,1,1,@1.57,1.57,GTC,05/09/2025 14:06:51 EDT,05/09/2025 14:07:10 EDT
NVDA250606C00130000,NVDA250606C00130000,Sell,Cancelled,0,1,1.95,,GTC,05/09/2025 12:20:46 EDT,
NVDA250606C00130000,NVDA250606C00130000,Sell,Filled,1,1,@3.75,3.75,GTC,05/09/2025 12:20:46 EDT,05/12/2025 09:30:09 EDT
NVDA250606C00130000,NVDA250606C00130000,Buy,Filled,1,1,@2.26,2.26,GTC,05/09/2025 12:19:32 EDT,05/09/2025 12:20:02 EDT
NVDA250606C00135000,NVDA250606C00135000,Buy,Cancelled,0,2,@1.36,,GTC,05/09/2025 12:18:54 EDT,
NVDA250606C00117000,NVDA250606C00117000,Sell,Filled,1,1,@6.65,6.65,DAY,05/09/2025 12:18:10 EDT,05/09/2025 12:18:10 EDT
NVDA250606C00117000,NVDA250606C00117000,Buy,Filled,1,1,@6.75,6.75,GTC,05/09/2025 12:15:41 EDT,05/09/2025 12:16:04 EDT
AMD250606P00080000,AMD250606P00080000,Sell,Filled,1,1,@0.360,0.360,DAY,05/08/2025 09:31:50 EDT,05/08/2025 09:31:50 EDT
AMD250606C00120000,AMD250606C00120000,Sell,Filled,1,1,@0.500,0.500,DAY,05/07/2025 12:33:30 EDT,05/07/2025 12:34:02 EDT
AMD250606P00080000,AMD250606P00080000,Buy,Filled,1,1,@0.950,0.950,DAY,05/06/2025 15:58:34 EDT,05/06/2025 15:58:34 EDT
MARA250516C00016000,MARA250516C00016000,Sell,Filled,1,1,@0.180,0.180,DAY,05/06/2025 14:03:20 EDT,05/06/2025 14:03:20 EDT
AMD250606C00120000,AMD250606C00120000,Buy,Filled,1,1,@1.02,1.02,DAY,05/06/2025 13:18:38 EDT,05/06/2025 13:18:38 EDT
NVDA250606C00114000,NVDA250606C00114000,Sell,Filled,1,1,@7.85,7.85,DAY,05/02/2025 11:15:02 EDT,05/02/2025 11:15:09 EDT
NVDA250606C00114000,NVDA250606C00114000,Buy,Filled,1,1,@7.85,7.85,DAY,05/02/2025 11:12:27 EDT,05/02/2025 11:12:31 EDT
NVDA250523C00120000,NVDA250523C00120000,Sell,Filled,1,1,@2.62,2.62,DAY,05/02/2025 09:48:04 EDT,05/02/2025 09:48:04 EDT
NVDA250523C00120000,NVDA250523C00120000,Buy,Filled,1,1,@1.59,1.59,DAY,04/28/2025 15:39:01 EDT,04/28/2025 15:39:15 EDT
NVDA250523P00102000,NVDA250523P00102000,Sell,Filled,1,1,@3.25,3.25,DAY,04/28/2025 11:54:15 EDT,04/28/2025 11:54:35 EDT
